experiment_key,Accuracy,Precision,Recall,F1_Score
SKAB_seed_42_fold_1_LSTM_original,0.6773041731756304,0.7178571428571429,0.12818877551020408,0.21753246753246752
SKAB_seed_42_fold_1_GRU_original,0.6547645614818121,0.5660377358490566,0.05739795918367347,0.10422698320787492
SKAB_seed_42_fold_1_CNN1D_original,0.6239678643160009,0.4095826893353941,0.1690051020408163,0.23927765237020315
SKAB_seed_42_fold_1_Automata_original,0.6555951850200624,0.3142857142857143,0.007180156657963447,0.014039566049776643
SKAB_seed_42_fold_1_LSTM_noisy,0.6534255746485159,0.5414364640883977,0.0625,0.11206403659233848
SKAB_seed_42_fold_1_GRU_noisy,0.6346797589823701,0.3028571428571429,0.03380102040816327,0.060814687320711415
SKAB_seed_42_fold_1_CNN1D_noisy,0.5650524436509707,0.3162970106075217,0.20918367346938777,0.25182341650671786
SKAB_seed_42_fold_1_Automata_noisy,0.6562639322336157,0.2916666666666667,0.0045691906005221935,0.008997429305912597
SKAB_seed_42_fold_1_Automata_unseen,0.6555951850200624,0.3142857142857143,0.007180156657963447,0.014039566049776643
SKAB_seed_42_fold_2_LSTM_original,0.6533244385145652,0.5234375,0.1274571972098922,0.20499745028046915
SKAB_seed_42_fold_2_GRU_original,0.7000222370469201,0.6972318339100346,0.25554850982878885,0.3740139211136891
SKAB_seed_42_fold_2_CNN1D_original,0.7200355792750722,0.6409574468085106,0.4584654407102093,0.5345656192236599
SKAB_seed_42_fold_2_Automata_original,0.6532652154597957,0.08333333333333333,0.0012978585334198572,0.0025559105431309905
SKAB_seed_42_fold_2_LSTM_noisy,0.6849010451412052,0.6777777777777778,0.19340519974635384,0.30093734583127774
SKAB_seed_42_fold_2_GRU_noisy,0.66711140760507,0.6176470588235294,0.13316423589093215,0.2190923317683881
SKAB_seed_42_fold_2_CNN1D_noisy,0.7124749833222148,0.5850299401197605,0.6195307545973368,0.6017862642439175
SKAB_seed_42_fold_2_Automata_noisy,0.6497112394491337,0.2631578947368421,0.012978585334198572,0.024737167594310452
SKAB_seed_42_fold_2_Automata_unseen,0.6532652154597957,0.08333333333333333,0.0012978585334198572,0.0025559105431309905
SKAB_seed_42_fold_3_LSTM_original,0.5351267229879947,0.13924050632911392,0.05382262996941896,0.0776356418173798
SKAB_seed_42_fold_3_GRU_original,0.6082703423743886,0.1932367149758454,0.024464831804281346,0.04343105320304017
SKAB_seed_42_fold_3_CNN1D_original,0.5400177856825256,0.34183673469387754,0.2868501529051988,0.3119388094446292
SKAB_seed_42_fold_3_Automata_original,0.6382411725516323,0.32558139534883723,0.017510944340212633,0.03323442136498516
SKAB_seed_42_fold_3_LSTM_noisy,0.5235660293463762,0.2320675105485232,0.1345565749235474,0.17034456058846303
SKAB_seed_42_fold_3_GRU_noisy,0.5529124055135616,0.1328125,0.04159021406727829,0.06334420121099209
SKAB_seed_42_fold_3_CNN1D_noisy,0.561805246776345,0.3549222797927461,0.25137614678899084,0.29430719656283566
SKAB_seed_42_fold_3_Automata_noisy,0.6169220519653564,0.14204545454545456,0.015634771732332707,0.028169014084507043
SKAB_seed_42_fold_3_Automata_unseen,0.6382411725516323,0.32558139534883723,0.017510944340212633,0.03323442136498516
SKAB_seed_42_fold_4_LSTM_original,0.6724762335898596,0.7725947521865889,0.16217870257037945,0.2680829539706626
SKAB_seed_42_fold_4_GRU_original,0.6385242191036669,0.6868686868686869,0.0416156670746634,0.07847663012117714
SKAB_seed_42_fold_4_CNN1D_original,0.6586690810321413,0.6026058631921825,0.22643818849449204,0.3291814946619217
SKAB_seed_42_fold_4_Automata_original,0.6323762152385259,0.325,0.016270337922403004,0.03098927294398093
SKAB_seed_42_fold_4_LSTM_noisy,0.6600271616115889,0.7142857142857143,0.1346389228886169,0.22657054582904224
SKAB_seed_42_fold_4_GRU_noisy,0.6369397917609778,0.6013513513513513,0.05446756425948592,0.09988776655443322
SKAB_seed_42_fold_4_CNN1D_noisy,0.6102308736985061,0.4634551495016611,0.34149326805385555,0.39323467230443976
