Dataset,Seed,Scenario,Model,Training_Time_sec,Inference_Time_sec,Fold
SKAB,2026,noisy,CNN1D,27.7659,0.1851,1.0
SKAB,2026,noisy,Automata,0.0156,0.0197,1.0
SKAB,2026,unseen,Automata,0.0161,0.0225,1.0
SKAB,2026,original,LSTM,65.1143,0.4775,2.0
SKAB,2026,original,GRU,92.5989,0.3013,2.0
SKAB,2026,original,CNN1D,35.2214,0.1793,2.0
SKAB,2026,original,Automata,0.0156,0.0188,2.0
SKAB,2026,noisy,LSTM,41.4957,0.3272,2.0
SKAB,2026,noisy,GRU,42.5422,0.314,2.0
SKAB,2026,noisy,CNN1D,21.6736,0.1869,2.0
SKAB,2026,noisy,Automata,0.0153,0.0181,2.0
SKAB,2026,unseen,Automata,0.0157,0.0186,2.0
SKAB,2026,original,LSTM,45.2712,0.4893,3.0
SKAB,2026,original,GRU,85.4971,0.3167,3.0
SKAB,2026,original,CNN1D,30.0201,0.1953,3.0
SKAB,2026,original,Automata,0.0156,0.0295,3.0
SKAB,2026,noisy,LSTM,40.9677,0.3266,3.0
SKAB,2026,noisy,GRU,51.02,0.3317,3.0
SKAB,2026,noisy,CNN1D,24.3477,0.1778,3.0
SKAB,2026,noisy,Automata,0.0153,0.0201,3.0
SKAB,2026,unseen,Automata,0.0155,0.0292,3.0
SKAB,2026,original,LSTM,56.454,0.3542,4.0
SKAB,2026,original,GRU,103.6584,0.304,4.0
SKAB,2026,original,CNN1D,21.5252,0.1976,4.0
SKAB,2026,original,Automata,0.0155,0.0183,4.0
SKAB,2026,noisy,LSTM,64.2721,0.3552,4.0
SKAB,2026,noisy,GRU,48.7128,0.3083,4.0
SKAB,2026,noisy,CNN1D,14.1803,0.2038,4.0
SKAB,2026,noisy,Automata,0.0152,0.0152,4.0
SKAB,2026,unseen,Automata,0.0155,0.0173,4.0
SKAB,2026,original,LSTM,60.8307,0.3303,5.0
SKAB,2026,original,GRU,49.4663,0.3646,5.0
SKAB,2026,original,CNN1D,14.8791,0.1842,5.0
SKAB,2026,original,Automata,0.0169,0.0235,5.0
SKAB,2026,noisy,LSTM,63.619,0.3247,5.0
SKAB,2026,noisy,GRU,100.3059,0.3083,5.0
SKAB,2026,noisy,CNN1D,21.2321,0.2061,5.0
SKAB,2026,noisy,Automata,0.0166,0.15,5.0
SKAB,2026,unseen,Automata,0.0165,0.0247,5.0
SKAB,7,original,LSTM,144.0234,0.3811,1.0
SKAB,7,original,GRU,84.0578,0.3007,1.0
SKAB,7,original,CNN1D,33.4286,0.1796,1.0
SKAB,7,original,Automata,0.0153,0.0165,1.0
SKAB,7,noisy,LSTM,40.3871,0.3426,1.0
SKAB,7,noisy,GRU,57.0845,0.4455,1.0
SKAB,7,noisy,CNN1D,23.3623,0.1927,1.0
SKAB,7,noisy,Automata,0.0153,0.0158,1.0
SKAB,7,unseen,Automata,0.0149,0.0176,1.0
SKAB,7,original,LSTM,68.0429,0.3487,2.0
SKAB,7,original,GRU,85.3604,0.4038,2.0
SKAB,7,original,CNN1D,19.1021,0.2016,2.0
SKAB,7,original,Automata,0.0172,0.0191,2.0
SKAB,7,noisy,LSTM,59.101,0.335,2.0
SKAB,7,noisy,GRU,39.3616,0.2965,2.0
SKAB,7,noisy,CNN1D,27.849,0.1946,2.0
SKAB,7,noisy,Automata,0.015,0.0155,2.0
SKAB,7,unseen,Automata,0.0154,0.0193,2.0
SKAB,7,original,LSTM,59.8282,0.3215,3.0
SKAB,7,original,GRU,101.5531,0.3086,3.0
SKAB,7,original,CNN1D,29.3625,0.1888,3.0
SKAB,7,original,Automata,0.0151,0.0306,3.0
SKAB,7,noisy,LSTM,67.421,0.3213,3.0
SKAB,7,noisy,GRU,57.5789,0.7014,3.0
SKAB,7,noisy,CNN1D,8.2319,0.2014,3.0
SKAB,7,noisy,Automata,0.0149,0.0173,3.0
SKAB,7,unseen,Automata,0.016,0.0322,3.0
SKAB,7,original,LSTM,45.9471,0.317,4.0
SKAB,7,original,GRU,118.1711,0.3301,4.0
SKAB,7,original,CNN1D,31.6998,0.2265,4.0
SKAB,7,original,Automata,0.0161,0.0161,4.0
SKAB,7,noisy,LSTM,30.4193,0.3625,4.0
SKAB,7,noisy,GRU,103.1919,0.3169,4.0
SKAB,7,noisy,CNN1D,38.1938,0.2268,4.0
SKAB,7,noisy,Automata,0.0156,0.0149,4.0
SKAB,7,unseen,Automata,0.0176,0.0162,4.0
SKAB,7,original,LSTM,102.1977,0.4618,5.0
SKAB,7,original,GRU,43.9356,0.3344,5.0
SKAB,7,original,CNN1D,30.492,0.186,5.0
SKAB,7,original,Automata,0.0171,0.0303,5.0
SKAB,7,noisy,LSTM,113.2186,0.324,5.0
SKAB,7,noisy,GRU,74.5186,0.3599,5.0
SKAB,7,noisy,CNN1D,31.7269,0.185,5.0
SKAB,7,noisy,Automata,0.0173,0.1069,5.0
SKAB,7,unseen,Automata,0.0163,0.0249,5.0
SKAB,999,original,LSTM,36.3541,0.3179,1.0
SKAB,999,original,GRU,67.4833,0.3094,1.0
SKAB,999,original,CNN1D,28.5924,0.1964,1.0
SKAB,999,original,Automata,0.0157,0.0169,1.0
SKAB,999,noisy,LSTM,52.0191,0.3714,1.0
SKAB,999,noisy,GRU,45.4696,0.3138,1.0
SKAB,999,noisy,CNN1D,47.6382,0.1837,1.0
SKAB,999,noisy,Automata,0.028,0.0236,1.0
