Parameter,Value,State_Count,Transition_Density,Accuracy,F1_Score,Dataset
Window_Size,3,26,2.769,0.8944,0.0,BATADAL
Window_Size,4,72,2.347,0.8834,0.0202,BATADAL
Window_Size,5,169,1.87,0.8568,0.0325,BATADAL
Window_Size,6,316,1.608,0.8289,0.0274,BATADAL
Alphabet_Size,3,72,2.347,0.8834,0.0202,BATADAL
Alphabet_Size,4,175,2.354,0.8486,0.1,BATADAL
Alphabet_Size,5,339,2.26,0.7921,0.0942,BATADAL
Alphabet_Size,6,523,2.01,0.7163,0.1324,BATADAL
